"combine","Freq","type","n","last_record"
"0100",74,"synthetic data from attack",87,"0001"
"0101",71,"synthetic data from attack",87,"0001"
"0110",59,"synthetic data from attack",87,"0001"
"0111",81,"synthetic data from attack",87,"0001"
"1000",75,"synthetic data from attack",87,"0001"
"1001",61,"synthetic data from attack",87,"0001"
"1010",59,"synthetic data from attack",87,"0001"
"1011",61,"synthetic data from attack",87,"0001"
"1100",75,"synthetic data from attack",87,"0001"
"1101",61,"synthetic data from attack",87,"0001"
"1110",54,"synthetic data from attack",87,"0001"
"0000",68,"released synthetic data",87,"0001"
"0001",60,"released synthetic data",87,"0001"
"0010",77,"released synthetic data",87,"0001"
"0011",70,"released synthetic data",87,"0001"
"0100",73,"released synthetic data",87,"0001"
"0101",60,"released synthetic data",87,"0001"
"0110",58,"released synthetic data",87,"0001"
"0111",72,"released synthetic data",87,"0001"
"1000",77,"released synthetic data",87,"0001"
"1001",69,"released synthetic data",87,"0001"
"1010",50,"released synthetic data",87,"0001"
"1011",61,"released synthetic data",87,"0001"
"1100",79,"released synthetic data",87,"0001"
"1101",65,"released synthetic data",87,"0001"
"1110",60,"released synthetic data",87,"0001"
"1111",1,"released synthetic data",87,"0001"
"0000",76,"synthetic data from attack",87,"1001"
"0001",63,"synthetic data from attack",87,"1001"
"0010",82,"synthetic data from attack",87,"1001"
"0011",44,"synthetic data from attack",87,"1001"
"0100",78,"synthetic data from attack",87,"1001"
"0101",50,"synthetic data from attack",87,"1001"
"0110",85,"synthetic data from attack",87,"1001"
"0111",76,"synthetic data from attack",87,"1001"
"1000",80,"synthetic data from attack",87,"1001"
"1001",58,"synthetic data from attack",87,"1001"
"1010",57,"synthetic data from attack",87,"1001"
"1011",61,"synthetic data from attack",87,"1001"
"1100",72,"synthetic data from attack",87,"1001"
"1101",62,"synthetic data from attack",87,"1001"
"1110",56,"synthetic data from attack",87,"1001"
"0000",68,"released synthetic data",87,"1001"
"0001",60,"released synthetic data",87,"1001"
"0010",77,"released synthetic data",87,"1001"
"0011",70,"released synthetic data",87,"1001"
"0100",73,"released synthetic data",87,"1001"
"0101",60,"released synthetic data",87,"1001"
"0110",58,"released synthetic data",87,"1001"
"0111",72,"released synthetic data",87,"1001"
"1000",77,"released synthetic data",87,"1001"
"1001",69,"released synthetic data",87,"1001"
"1010",50,"released synthetic data",87,"1001"
"1011",61,"released synthetic data",87,"1001"
"1100",79,"released synthetic data",87,"1001"
"1101",65,"released synthetic data",87,"1001"
"1110",60,"released synthetic data",87,"1001"
"1111",1,"released synthetic data",87,"1001"
"0000",75,"synthetic data from attack",87,"0101"
"0001",65,"synthetic data from attack",87,"0101"
"0010",75,"synthetic data from attack",87,"0101"
"0011",64,"synthetic data from attack",87,"0101"
"0100",71,"synthetic data from attack",87,"0101"
"0101",64,"synthetic data from attack",87,"0101"
"0110",64,"synthetic data from attack",87,"0101"
"0111",65,"synthetic data from attack",87,"0101"
"1000",83,"synthetic data from attack",87,"0101"
"1001",56,"synthetic data from attack",87,"0101"
"1010",46,"synthetic data from attack",87,"0101"
"1011",62,"synthetic data from attack",87,"0101"
"1100",86,"synthetic data from attack",87,"0101"
"1101",62,"synthetic data from attack",87,"0101"
"1110",62,"synthetic data from attack",87,"0101"
"0000",68,"released synthetic data",87,"0101"
"0001",60,"released synthetic data",87,"0101"
"0010",77,"released synthetic data",87,"0101"
"0011",70,"released synthetic data",87,"0101"
"0100",73,"released synthetic data",87,"0101"
"0101",60,"released synthetic data",87,"0101"
"0110",58,"released synthetic data",87,"0101"
"0111",72,"released synthetic data",87,"0101"
"1000",77,"released synthetic data",87,"0101"
"1001",69,"released synthetic data",87,"0101"
"1010",50,"released synthetic data",87,"0101"
"1011",61,"released synthetic data",87,"0101"
"1100",79,"released synthetic data",87,"0101"
"1101",65,"released synthetic data",87,"0101"
"1110",60,"released synthetic data",87,"0101"
"1111",1,"released synthetic data",87,"0101"
"0000",91,"synthetic data from attack",87,"1101"
"0001",64,"synthetic data from attack",87,"1101"
"0010",77,"synthetic data from attack",87,"1101"
"0011",67,"synthetic data from attack",87,"1101"
"0100",63,"synthetic data from attack",87,"1101"
"0101",63,"synthetic data from attack",87,"1101"
"0110",53,"synthetic data from attack",87,"1101"
"0111",81,"synthetic data from attack",87,"1101"
"1000",69,"synthetic data from attack",87,"1101"
"1001",61,"synthetic data from attack",87,"1101"
"1010",37,"synthetic data from attack",87,"1101"
"1011",70,"synthetic data from attack",87,"1101"
"1100",85,"synthetic data from attack",87,"1101"
"1101",66,"synthetic data from attack",87,"1101"
"1110",53,"synthetic data from attack",87,"1101"
"0000",68,"released synthetic data",87,"1101"
"0001",60,"released synthetic data",87,"1101"
"0010",77,"released synthetic data",87,"1101"
"0011",70,"released synthetic data",87,"1101"
"0100",73,"released synthetic data",87,"1101"
"0101",60,"released synthetic data",87,"1101"
"0110",58,"released synthetic data",87,"1101"
"0111",72,"released synthetic data",87,"1101"
"1000",77,"released synthetic data",87,"1101"
"1001",69,"released synthetic data",87,"1101"
"1010",50,"released synthetic data",87,"1101"
"1011",61,"released synthetic data",87,"1101"
"1100",79,"released synthetic data",87,"1101"
"1101",65,"released synthetic data",87,"1101"
"1110",60,"released synthetic data",87,"1101"
"1111",1,"released synthetic data",87,"1101"
"0000",60,"synthetic data from attack",87,"0011"
"0001",67,"synthetic data from attack",87,"0011"
"0010",72,"synthetic data from attack",87,"0011"
"0011",76,"synthetic data from attack",87,"0011"
"0100",70,"synthetic data from attack",87,"0011"
"0101",58,"synthetic data from attack",87,"0011"
"0110",60,"synthetic data from attack",87,"0011"
"0111",67,"synthetic data from attack",87,"0011"
"1000",91,"synthetic data from attack",87,"0011"
"1001",61,"synthetic data from attack",87,"0011"
"1010",62,"synthetic data from attack",87,"0011"
"1011",55,"synthetic data from attack",87,"0011"
"1100",70,"synthetic data from attack",87,"0011"
"1101",63,"synthetic data from attack",87,"0011"
"1110",68,"synthetic data from attack",87,"0011"
"0000",68,"released synthetic data",87,"0011"
"0001",60,"released synthetic data",87,"0011"
"0010",77,"released synthetic data",87,"0011"
"0011",70,"released synthetic data",87,"0011"
"0100",73,"released synthetic data",87,"0011"
"0101",60,"released synthetic data",87,"0011"
"0110",58,"released synthetic data",87,"0011"
"0111",72,"released synthetic data",87,"0011"
"1000",77,"released synthetic data",87,"0011"
"1001",69,"released synthetic data",87,"0011"
"1010",50,"released synthetic data",87,"0011"
"1011",61,"released synthetic data",87,"0011"
"1100",79,"released synthetic data",87,"0011"
"1101",65,"released synthetic data",87,"0011"
"1110",60,"released synthetic data",87,"0011"
"1111",1,"released synthetic data",87,"0011"
"0000",69,"synthetic data from attack",87,"1011"
"0001",62,"synthetic data from attack",87,"1011"
"0010",84,"synthetic data from attack",87,"1011"
"0011",69,"synthetic data from attack",87,"1011"
"0100",71,"synthetic data from attack",87,"1011"
"0101",65,"synthetic data from attack",87,"1011"
"0110",65,"synthetic data from attack",87,"1011"
"0111",71,"synthetic data from attack",87,"1011"
"1000",70,"synthetic data from attack",87,"1011"
"1001",51,"synthetic data from attack",87,"1011"
"1010",44,"synthetic data from attack",87,"1011"
"1011",65,"synthetic data from attack",87,"1011"
"1100",74,"synthetic data from attack",87,"1011"
"1101",65,"synthetic data from attack",87,"1011"
"1110",75,"synthetic data from attack",87,"1011"
"0000",68,"released synthetic data",87,"1011"
"0001",60,"released synthetic data",87,"1011"
"0010",77,"released synthetic data",87,"1011"
"0011",70,"released synthetic data",87,"1011"
"0100",73,"released synthetic data",87,"1011"
"0101",60,"released synthetic data",87,"1011"
"0110",58,"released synthetic data",87,"1011"
"0111",72,"released synthetic data",87,"1011"
"1000",77,"released synthetic data",87,"1011"
"1001",69,"released synthetic data",87,"1011"
"1010",50,"released synthetic data",87,"1011"
"1011",61,"released synthetic data",87,"1011"
"1100",79,"released synthetic data",87,"1011"
"1101",65,"released synthetic data",87,"1011"
"1110",60,"released synthetic data",87,"1011"
"1111",1,"released synthetic data",87,"1011"
"0000",68,"synthetic data from attack",87,"0111"
"0001",60,"synthetic data from attack",87,"0111"
"0010",75,"synthetic data from attack",87,"0111"
"0011",58,"synthetic data from attack",87,"0111"
"0100",65,"synthetic data from attack",87,"0111"
"0101",59,"synthetic data from attack",87,"0111"
"0110",65,"synthetic data from attack",87,"0111"
"0111",85,"synthetic data from attack",87,"0111"
"1000",73,"synthetic data from attack",87,"0111"
"1001",71,"synthetic data from attack",87,"0111"
"1010",48,"synthetic data from attack",87,"0111"
"1011",62,"synthetic data from attack",87,"0111"
"1100",83,"synthetic data from attack",87,"0111"
"1101",56,"synthetic data from attack",87,"0111"
"1110",72,"synthetic data from attack",87,"0111"
"0000",68,"released synthetic data",87,"0111"
"0001",60,"released synthetic data",87,"0111"
"0010",77,"released synthetic data",87,"0111"
"0011",70,"released synthetic data",87,"0111"
"0100",73,"released synthetic data",87,"0111"
"0101",60,"released synthetic data",87,"0111"
"0110",58,"released synthetic data",87,"0111"
"0111",72,"released synthetic data",87,"0111"
"1000",77,"released synthetic data",87,"0111"
"1001",69,"released synthetic data",87,"0111"
"1010",50,"released synthetic data",87,"0111"
"1011",61,"released synthetic data",87,"0111"
"1100",79,"released synthetic data",87,"0111"
"1101",65,"released synthetic data",87,"0111"
"1110",60,"released synthetic data",87,"0111"
"1111",1,"released synthetic data",87,"0111"
"0000",76,"synthetic data from attack",87,"1111"
"0001",54,"synthetic data from attack",87,"1111"
"0010",81,"synthetic data from attack",87,"1111"
"0011",69,"synthetic data from attack",87,"1111"
"0100",72,"synthetic data from attack",87,"1111"
"0101",55,"synthetic data from attack",87,"1111"
"0110",55,"synthetic data from attack",87,"1111"
"0111",84,"synthetic data from attack",87,"1111"
"1000",78,"synthetic data from attack",87,"1111"
"1001",49,"synthetic data from attack",87,"1111"
"1010",57,"synthetic data from attack",87,"1111"
"1011",80,"synthetic data from attack",87,"1111"
"1100",82,"synthetic data from attack",87,"1111"
"1101",53,"synthetic data from attack",87,"1111"
"1110",55,"synthetic data from attack",87,"1111"
"0000",68,"released synthetic data",87,"1111"
"0001",60,"released synthetic data",87,"1111"
"0010",77,"released synthetic data",87,"1111"
"0011",70,"released synthetic data",87,"1111"
"0100",73,"released synthetic data",87,"1111"
"0101",60,"released synthetic data",87,"1111"
"0110",58,"released synthetic data",87,"1111"
"0111",72,"released synthetic data",87,"1111"
"1000",77,"released synthetic data",87,"1111"
"1001",69,"released synthetic data",87,"1111"
"1010",50,"released synthetic data",87,"1111"
"1011",61,"released synthetic data",87,"1111"
"1100",79,"released synthetic data",87,"1111"
"1101",65,"released synthetic data",87,"1111"
"1110",60,"released synthetic data",87,"1111"
"1111",1,"released synthetic data",87,"1111"
"0000",61,"synthetic data from attack",88,"0000"
"0001",64,"synthetic data from attack",88,"0000"
"0010",71,"synthetic data from attack",88,"0000"
"0011",70,"synthetic data from attack",88,"0000"
"0100",60,"synthetic data from attack",88,"0000"
"0101",62,"synthetic data from attack",88,"0000"
"0110",56,"synthetic data from attack",88,"0000"
"0111",85,"synthetic data from attack",88,"0000"
"1000",72,"synthetic data from attack",88,"0000"
"1001",63,"synthetic data from attack",88,"0000"
"1010",46,"synthetic data from attack",88,"0000"
"1011",75,"synthetic data from attack",88,"0000"
"1100",82,"synthetic data from attack",88,"0000"
"1101",62,"synthetic data from attack",88,"0000"
"1110",71,"synthetic data from attack",88,"0000"
"0000",68,"released synthetic data",88,"0000"
"0001",60,"released synthetic data",88,"0000"
"0010",77,"released synthetic data",88,"0000"
"0011",70,"released synthetic data",88,"0000"
"0100",73,"released synthetic data",88,"0000"
"0101",60,"released synthetic data",88,"0000"
"0110",58,"released synthetic data",88,"0000"
"0111",72,"released synthetic data",88,"0000"
"1000",77,"released synthetic data",88,"0000"
"1001",69,"released synthetic data",88,"0000"
"1010",50,"released synthetic data",88,"0000"
"1011",61,"released synthetic data",88,"0000"
"1100",79,"released synthetic data",88,"0000"
"1101",65,"released synthetic data",88,"0000"
"1110",60,"released synthetic data",88,"0000"
"1111",1,"released synthetic data",88,"0000"
"0000",62,"synthetic data from attack",88,"1000"
"0001",53,"synthetic data from attack",88,"1000"
"0010",91,"synthetic data from attack",88,"1000"
"0011",60,"synthetic data from attack",88,"1000"
"0100",76,"synthetic data from attack",88,"1000"
"0101",66,"synthetic data from attack",88,"1000"
"0110",56,"synthetic data from attack",88,"1000"
"0111",73,"synthetic data from attack",88,"1000"
"1000",78,"synthetic data from attack",88,"1000"
"1001",59,"synthetic data from attack",88,"1000"
"1010",56,"synthetic data from attack",88,"1000"
"1011",77,"synthetic data from attack",88,"1000"
"1100",73,"synthetic data from attack",88,"1000"
"1101",55,"synthetic data from attack",88,"1000"
"1110",65,"synthetic data from attack",88,"1000"
"0000",68,"released synthetic data",88,"1000"
"0001",60,"released synthetic data",88,"1000"
"0010",77,"released synthetic data",88,"1000"
"0011",70,"released synthetic data",88,"1000"
"0100",73,"released synthetic data",88,"1000"
"0101",60,"released synthetic data",88,"1000"
"0110",58,"released synthetic data",88,"1000"
"0111",72,"released synthetic data",88,"1000"
"1000",77,"released synthetic data",88,"1000"
"1001",69,"released synthetic data",88,"1000"
"1010",50,"released synthetic data",88,"1000"
"1011",61,"released synthetic data",88,"1000"
"1100",79,"released synthetic data",88,"1000"
"1101",65,"released synthetic data",88,"1000"
"1110",60,"released synthetic data",88,"1000"
"1111",1,"released synthetic data",88,"1000"
"0000",71,"synthetic data from attack",88,"0100"
"0001",59,"synthetic data from attack",88,"0100"
"0010",72,"synthetic data from attack",88,"0100"
"0011",76,"synthetic data from attack",88,"0100"
"0100",55,"synthetic data from attack",88,"0100"
"0101",65,"synthetic data from attack",88,"0100"
"0110",65,"synthetic data from attack",88,"0100"
"0111",65,"synthetic data from attack",88,"0100"
"1000",87,"synthetic data from attack",88,"0100"
"1001",71,"synthetic data from attack",88,"0100"
"1010",49,"synthetic data from attack",88,"0100"
"1011",74,"synthetic data from attack",88,"0100"
"1100",81,"synthetic data from attack",88,"0100"
"1101",51,"synthetic data from attack",88,"0100"
"1110",59,"synthetic data from attack",88,"0100"
"0000",68,"released synthetic data",88,"0100"
"0001",60,"released synthetic data",88,"0100"
"0010",77,"released synthetic data",88,"0100"
"0011",70,"released synthetic data",88,"0100"
"0100",73,"released synthetic data",88,"0100"
"0101",60,"released synthetic data",88,"0100"
"0110",58,"released synthetic data",88,"0100"
"0111",72,"released synthetic data",88,"0100"
"1000",77,"released synthetic data",88,"0100"
"1001",69,"released synthetic data",88,"0100"
"1010",50,"released synthetic data",88,"0100"
"1011",61,"released synthetic data",88,"0100"
"1100",79,"released synthetic data",88,"0100"
"1101",65,"released synthetic data",88,"0100"
"1110",60,"released synthetic data",88,"0100"
"1111",1,"released synthetic data",88,"0100"
"0000",73,"synthetic data from attack",88,"1100"
"0001",70,"synthetic data from attack",88,"1100"
"0010",79,"synthetic data from attack",88,"1100"
"0011",55,"synthetic data from attack",88,"1100"
"0100",71,"synthetic data from attack",88,"1100"
"0101",91,"synthetic data from attack",88,"1100"
"0110",57,"synthetic data from attack",88,"1100"
"0111",72,"synthetic data from attack",88,"1100"
"1000",74,"synthetic data from attack",88,"1100"
"1001",51,"synthetic data from attack",88,"1100"
"1010",63,"synthetic data from attack",88,"1100"
"1011",68,"synthetic data from attack",88,"1100"
"1100",72,"synthetic data from attack",88,"1100"
"1101",56,"synthetic data from attack",88,"1100"
"1110",48,"synthetic data from attack",88,"1100"
"0000",68,"released synthetic data",88,"1100"
"0001",60,"released synthetic data",88,"1100"
"0010",77,"released synthetic data",88,"1100"
"0011",70,"released synthetic data",88,"1100"
"0100",73,"released synthetic data",88,"1100"
"0101",60,"released synthetic data",88,"1100"
"0110",58,"released synthetic data",88,"1100"
"0111",72,"released synthetic data",88,"1100"
"1000",77,"released synthetic data",88,"1100"
"1001",69,"released synthetic data",88,"1100"
"1010",50,"released synthetic data",88,"1100"
"1011",61,"released synthetic data",88,"1100"
"1100",79,"released synthetic data",88,"1100"
"1101",65,"released synthetic data",88,"1100"
"1110",60,"released synthetic data",88,"1100"
"1111",1,"released synthetic data",88,"1100"
"0000",62,"synthetic data from attack",88,"0010"
"0001",58,"synthetic data from attack",88,"0010"
"0010",84,"synthetic data from attack",88,"0010"
"0011",71,"synthetic data from attack",88,"0010"
"0100",70,"synthetic data from attack",88,"0010"
"0101",58,"synthetic data from attack",88,"0010"
"0110",50,"synthetic data from attack",88,"0010"
"0111",82,"synthetic data from attack",88,"0010"
"1000",82,"synthetic data from attack",88,"0010"
"1001",66,"synthetic data from attack",88,"0010"
"1010",68,"synthetic data from attack",88,"0010"
"1011",75,"synthetic data from attack",88,"0010"
"1100",71,"synthetic data from attack",88,"0010"
"1101",47,"synthetic data from attack",88,"0010"
"1110",56,"synthetic data from attack",88,"0010"
"0000",68,"released synthetic data",88,"0010"
"0001",60,"released synthetic data",88,"0010"
"0010",77,"released synthetic data",88,"0010"
"0011",70,"released synthetic data",88,"0010"
"0100",73,"released synthetic data",88,"0010"
"0101",60,"released synthetic data",88,"0010"
"0110",58,"released synthetic data",88,"0010"
"0111",72,"released synthetic data",88,"0010"
"1000",77,"released synthetic data",88,"0010"
"1001",69,"released synthetic data",88,"0010"
"1010",50,"released synthetic data",88,"0010"
"1011",61,"released synthetic data",88,"0010"
"1100",79,"released synthetic data",88,"0010"
"1101",65,"released synthetic data",88,"0010"
"1110",60,"released synthetic data",88,"0010"
"1111",1,"released synthetic data",88,"0010"
"0000",67,"synthetic data from attack",88,"1010"
"0001",68,"synthetic data from attack",88,"1010"
"0010",76,"synthetic data from attack",88,"1010"
"0011",75,"synthetic data from attack",88,"1010"
"0100",66,"synthetic data from attack",88,"1010"
"0101",71,"synthetic data from attack",88,"1010"
"0110",70,"synthetic data from attack",88,"1010"
"0111",50,"synthetic data from attack",88,"1010"
"1000",72,"synthetic data from attack",88,"1010"
"1001",67,"synthetic data from attack",88,"1010"
"1010",51,"synthetic data from attack",88,"1010"
"1011",60,"synthetic data from attack",88,"1010"
"1100",87,"synthetic data from attack",88,"1010"
"1101",66,"synthetic data from attack",88,"1010"
"1110",54,"synthetic data from attack",88,"1010"
"0000",68,"released synthetic data",88,"1010"
"0001",60,"released synthetic data",88,"1010"
"0010",77,"released synthetic data",88,"1010"
"0011",70,"released synthetic data",88,"1010"
"0100",73,"released synthetic data",88,"1010"
"0101",60,"released synthetic data",88,"1010"
"0110",58,"released synthetic data",88,"1010"
"0111",72,"released synthetic data",88,"1010"
"1000",77,"released synthetic data",88,"1010"
"1001",69,"released synthetic data",88,"1010"
"1010",50,"released synthetic data",88,"1010"
"1011",61,"released synthetic data",88,"1010"
"1100",79,"released synthetic data",88,"1010"
"1101",65,"released synthetic data",88,"1010"
"1110",60,"released synthetic data",88,"1010"
"1111",1,"released synthetic data",88,"1010"
"0000",69,"synthetic data from attack",88,"0110"
"0001",53,"synthetic data from attack",88,"0110"
"0010",84,"synthetic data from attack",88,"0110"
"0011",57,"synthetic data from attack",88,"0110"
"0100",60,"synthetic data from attack",88,"0110"
"0101",71,"synthetic data from attack",88,"0110"
"0110",59,"synthetic data from attack",88,"0110"
"0111",88,"synthetic data from attack",88,"0110"
"1000",83,"synthetic data from attack",88,"0110"
"1001",67,"synthetic data from attack",88,"0110"
"1010",40,"synthetic data from attack",88,"0110"
"1011",70,"synthetic data from attack",88,"0110"
"1100",73,"synthetic data from attack",88,"0110"
"1101",60,"synthetic data from attack",88,"0110"
"1110",66,"synthetic data from attack",88,"0110"
"0000",68,"released synthetic data",88,"0110"
"0001",60,"released synthetic data",88,"0110"
"0010",77,"released synthetic data",88,"0110"
"0011",70,"released synthetic data",88,"0110"
"0100",73,"released synthetic data",88,"0110"
"0101",60,"released synthetic data",88,"0110"
"0110",58,"released synthetic data",88,"0110"
"0111",72,"released synthetic data",88,"0110"
"1000",77,"released synthetic data",88,"0110"
"1001",69,"released synthetic data",88,"0110"
"1010",50,"released synthetic data",88,"0110"
"1011",61,"released synthetic data",88,"0110"
"1100",79,"released synthetic data",88,"0110"
"1101",65,"released synthetic data",88,"0110"
"1110",60,"released synthetic data",88,"0110"
"1111",1,"released synthetic data",88,"0110"
"0000",84,"synthetic data from attack",88,"1110"
"0001",65,"synthetic data from attack",88,"1110"
"0010",84,"synthetic data from attack",88,"1110"
"0011",52,"synthetic data from attack",88,"1110"
"0100",75,"synthetic data from attack",88,"1110"
"0101",60,"synthetic data from attack",88,"1110"
"0110",58,"synthetic data from attack",88,"1110"
"0111",79,"synthetic data from attack",88,"1110"
"1000",77,"synthetic data from attack",88,"1110"
"1001",64,"synthetic data from attack",88,"1110"
"1010",51,"synthetic data from attack",88,"1110"
"1011",56,"synthetic data from attack",88,"1110"
"1100",75,"synthetic data from attack",88,"1110"
"1101",56,"synthetic data from attack",88,"1110"
"1110",64,"synthetic data from attack",88,"1110"
"0000",68,"released synthetic data",88,"1110"
"0001",60,"released synthetic data",88,"1110"
"0010",77,"released synthetic data",88,"1110"
"0011",70,"released synthetic data",88,"1110"
"0100",73,"released synthetic data",88,"1110"
"0101",60,"released synthetic data",88,"1110"
"0110",58,"released synthetic data",88,"1110"
"0111",72,"released synthetic data",88,"1110"
"1000",77,"released synthetic data",88,"1110"
"1001",69,"released synthetic data",88,"1110"
"1010",50,"released synthetic data",88,"1110"
"1011",61,"released synthetic data",88,"1110"
"1100",79,"released synthetic data",88,"1110"
"1101",65,"released synthetic data",88,"1110"
"1110",60,"released synthetic data",88,"1110"
"1111",1,"released synthetic data",88,"1110"
"0000",72,"synthetic data from attack",88,"0001"
"0001",59,"synthetic data from attack",88,"0001"
"0010",72,"synthetic data from attack",88,"0001"
"0011",68,"synthetic data from attack",88,"0001"
"0100",85,"synthetic data from attack",88,"0001"
"0101",57,"synthetic data from attack",88,"0001"
"0110",73,"synthetic data from attack",88,"0001"
"0111",61,"synthetic data from attack",88,"0001"
"1000",67,"synthetic data from attack",88,"0001"
"1001",69,"synthetic data from attack",88,"0001"
"1010",56,"synthetic data from attack",88,"0001"
"1011",58,"synthetic data from attack",88,"0001"
"1100",86,"synthetic data from attack",88,"0001"
"1101",54,"synthetic data from attack",88,"0001"
"1110",63,"synthetic data from attack",88,"0001"
"0000",68,"released synthetic data",88,"0001"
"0001",60,"released synthetic data",88,"0001"
"0010",77,"released synthetic data",88,"0001"
"0011",70,"released synthetic data",88,"0001"
"0100",73,"released synthetic data",88,"0001"
"0101",60,"released synthetic data",88,"0001"
"0110",58,"released synthetic data",88,"0001"
"0111",72,"released synthetic data",88,"0001"
"1000",77,"released synthetic data",88,"0001"
"1001",69,"released synthetic data",88,"0001"
"1010",50,"released synthetic data",88,"0001"
"1011",61,"released synthetic data",88,"0001"
"1100",79,"released synthetic data",88,"0001"
"1101",65,"released synthetic data",88,"0001"
"1110",60,"released synthetic data",88,"0001"
"1111",1,"released synthetic data",88,"0001"
"0000",61,"synthetic data from attack",88,"1001"
"0001",66,"synthetic data from attack",88,"1001"
"0010",89,"synthetic data from attack",88,"1001"
"0011",65,"synthetic data from attack",88,"1001"
"0100",80,"synthetic data from attack",88,"1001"
"0101",50,"synthetic data from attack",88,"1001"
"0110",54,"synthetic data from attack",88,"1001"
"0111",61,"synthetic data from attack",88,"1001"
"1000",91,"synthetic data from attack",88,"1001"
"1001",55,"synthetic data from attack",88,"1001"
"1010",56,"synthetic data from attack",88,"1001"
"1011",63,"synthetic data from attack",88,"1001"
"1100",82,"synthetic data from attack",88,"1001"
"1101",73,"synthetic data from attack",88,"1001"
"1110",54,"synthetic data from attack",88,"1001"
"0000",68,"released synthetic data",88,"1001"
"0001",60,"released synthetic data",88,"1001"
"0010",77,"released synthetic data",88,"1001"
"0011",70,"released synthetic data",88,"1001"
"0100",73,"released synthetic data",88,"1001"
"0101",60,"released synthetic data",88,"1001"
"0110",58,"released synthetic data",88,"1001"
"0111",72,"released synthetic data",88,"1001"
"1000",77,"released synthetic data",88,"1001"
"1001",69,"released synthetic data",88,"1001"
"1010",50,"released synthetic data",88,"1001"
"1011",61,"released synthetic data",88,"1001"
"1100",79,"released synthetic data",88,"1001"
"1101",65,"released synthetic data",88,"1001"
"1110",60,"released synthetic data",88,"1001"
"1111",1,"released synthetic data",88,"1001"
"0000",81,"synthetic data from attack",88,"0101"
"0001",63,"synthetic data from attack",88,"0101"
"0010",70,"synthetic data from attack",88,"0101"
"0011",48,"synthetic data from attack",88,"0101"
"0100",78,"synthetic data from attack",88,"0101"
"0101",50,"synthetic data from attack",88,"0101"
"0110",48,"synthetic data from attack",88,"0101"
"0111",91,"synthetic data from attack",88,"0101"
"1000",67,"synthetic data from attack",88,"0101"
"1001",69,"synthetic data from attack",88,"0101"
"1010",47,"synthetic data from attack",88,"0101"
"1011",85,"synthetic data from attack",88,"0101"
"1100",79,"synthetic data from attack",88,"0101"
"1101",54,"synthetic data from attack",88,"0101"
"1110",70,"synthetic data from attack",88,"0101"
"0000",68,"released synthetic data",88,"0101"
"0001",60,"released synthetic data",88,"0101"
"0010",77,"released synthetic data",88,"0101"
"0011",70,"released synthetic data",88,"0101"
"0100",73,"released synthetic data",88,"0101"
"0101",60,"released synthetic data",88,"0101"
"0110",58,"released synthetic data",88,"0101"
"0111",72,"released synthetic data",88,"0101"
"1000",77,"released synthetic data",88,"0101"
"1001",69,"released synthetic data",88,"0101"
"1010",50,"released synthetic data",88,"0101"
"1011",61,"released synthetic data",88,"0101"
"1100",79,"released synthetic data",88,"0101"
"1101",65,"released synthetic data",88,"0101"
"1110",60,"released synthetic data",88,"0101"
"1111",1,"released synthetic data",88,"0101"
"0000",58,"synthetic data from attack",88,"1101"
"0001",62,"synthetic data from attack",88,"1101"
"0010",80,"synthetic data from attack",88,"1101"
"0011",60,"synthetic data from attack",88,"1101"
"0100",72,"synthetic data from attack",88,"1101"
"0101",64,"synthetic data from attack",88,"1101"
"0110",56,"synthetic data from attack",88,"1101"
"0111",73,"synthetic data from attack",88,"1101"
"1000",80,"synthetic data from attack",88,"1101"
"1001",80,"synthetic data from attack",88,"1101"
"1010",56,"synthetic data from attack",88,"1101"
"1011",65,"synthetic data from attack",88,"1101"
"1100",77,"synthetic data from attack",88,"1101"
"1101",55,"synthetic data from attack",88,"1101"
"1110",62,"synthetic data from attack",88,"1101"
"0000",68,"released synthetic data",88,"1101"
"0001",60,"released synthetic data",88,"1101"
"0010",77,"released synthetic data",88,"1101"
"0011",70,"released synthetic data",88,"1101"
"0100",73,"released synthetic data",88,"1101"
"0101",60,"released synthetic data",88,"1101"
"0110",58,"released synthetic data",88,"1101"
"0111",72,"released synthetic data",88,"1101"
"1000",77,"released synthetic data",88,"1101"
"1001",69,"released synthetic data",88,"1101"
"1010",50,"released synthetic data",88,"1101"
"1011",61,"released synthetic data",88,"1101"
"1100",79,"released synthetic data",88,"1101"
"1101",65,"released synthetic data",88,"1101"
"1110",60,"released synthetic data",88,"1101"
"1111",1,"released synthetic data",88,"1101"
"0000",77,"synthetic data from attack",88,"0011"
"0001",63,"synthetic data from attack",88,"0011"
"0010",83,"synthetic data from attack",88,"0011"
"0011",64,"synthetic data from attack",88,"0011"
"0100",61,"synthetic data from attack",88,"0011"
"0101",50,"synthetic data from attack",88,"0011"
"0110",63,"synthetic data from attack",88,"0011"
"0111",75,"synthetic data from attack",88,"0011"
"1000",72,"synthetic data from attack",88,"0011"
"1001",59,"synthetic data from attack",88,"0011"
"1010",49,"synthetic data from attack",88,"0011"
"1011",75,"synthetic data from attack",88,"0011"
"1100",79,"synthetic data from attack",88,"0011"
"1101",59,"synthetic data from attack",88,"0011"
"1110",71,"synthetic data from attack",88,"0011"
"0000",68,"released synthetic data",88,"0011"
"0001",60,"released synthetic data",88,"0011"
"0010",77,"released synthetic data",88,"0011"
"0011",70,"released synthetic data",88,"0011"
"0100",73,"released synthetic data",88,"0011"
